Date	Interstate movers		fixed_amount	total
11-Mar	"84,390"	2.237583717	45	"3,771,479"
11-Jun	"82,966"	2.199826646	44	
11-Sep	"80,523"	2.135050997	43	
11-Dec	"102,890"	2.728107461	55	
12-Mar	"89,117"	2.362919162	47	
12-Jun	"85,411"	2.264655325	45	
12-Sep	"76,790"	2.03607126	41	
12-Dec	"88,072"	2.3352112	47	
13-Mar	"90,488"	2.399270949	48	
13-Jun	"90,095"	2.388850634	48	
13-Sep	"78,833"	2.09024099	42	
13-Dec	"100,732"	2.670888529	53	
14-Mar	"93,301"	2.473857073	49	
14-Jun	"84,914"	2.251477471	45	
14-Sep	"71,798"	1.903709394	38	
14-Dec	"93,962"	2.491383354	50	
15-Mar	"87,212"	2.312408474	46	
15-Jun	"91,039"	2.413880602	48	
15-Sep	"78,136"	2.071760177	41	
15-Dec	"98,995"	2.624832327	52	
16-Mar	"94,653"	2.509705079	50	
16-Jun	"100,101"	2.654157693	53	
16-Sep	"79,592"	2.110365721	42	
16-Dec	"107,309"	2.845276349	57	
17-Mar	"94,035"	2.493318934	50	
17-Jun	"95,715"	2.537863793	51	
17-Sep	"85,679"	2.27176129	45	
17-Dec	"111,507"	2.956585467	59	
18-Mar	"98,235"	2.604681081	52	
18-Jun	"97,260"	2.578829154	52	
18-Sep	"87,191"	2.311851663	46	
18-Dec	"116,116"	3.078792166	62	
19-Mar	"100,363"	2.661104569	53	
19-Jun	"100,292"	2.659222019	53	
19-Sep	"86,821"	2.302041189	46	
19-Dec	"108,625"	2.880169822	58	
20-Mar	"87,772"	2.327256761	47	
20-Jun	"85,451"	2.265715917	45	
20-Sep	"76,205"	2.020560104	40	
20-Dec	"104,751"	2.777451498	56	
21-Mar	"104,142"	2.761303987	55	
				
"Source: Australian Bureau of Statistics, Regional internal migration estimates, provisional March 2021"				
